"Date","Open","High","Low","Close"
"2021-03-24",131,131,128,128
"2021-03-23",131,132,130,130
"2021-03-22",128,132,128,131
"2021-03-19",128,129,127,128
"2021-03-18",132,133,128,128
"2021-03-17",132,133,129,132
"2021-03-16",131,133,130,132
"2021-03-15",129,131,129,131
"2021-03-12",131,131,128,129
"2021-03-11",128,131,127,130
"2021-03-10",128,130,127,128
"2021-03-09",122,129,122,128
"2021-03-08",127,128,123,123
"2021-03-05",124,127,122,127
"2021-03-04",127,128,123,124
"2021-03-03",131,132,127,127
"2021-03-02",133,133,130,131
"2021-03-01",130,132,129,132
"2021-02-26",128,133,127,129
"2021-02-25",133,134,126,126
